Heimtore	Auswärtstore	Anzahl Ergebnisse
1	1	2011
2	1	1500
1	0	1363
2	0	1342
0	0	1132
2	2	1029
3	1	999
3	0	915
1	2	846
0	1	817
0	2	628
3	2	507
1	3	505
4	1	480
4	0	439
2	3	320
4	2	305
0	3	305
3	3	248
5	1	204
1	4	183
5	0	169
0	4	137
2	4	129
5	2	126
4	3	84
6	0	78
6	1	76
1	5	53
3	4	51
6	2	45
5	3	40
4	4	33
2	5	33
0	5	33
7	0	26
7	1	21
0	6	18
1	6	16
7	2	14
2	6	14
3	5	13
6	3	11
4	5	6
8	0	6
1	7	6
3	6	6
0	7	5
7	3	5
8	1	5
8	2	4
5	4	4
9	2	3
7	4	3
9	0	3
4	6	3
6	5	2
9	1	2
11	1	2
5	5	2
1	8	2
10	0	2
1	9	2
2	7	2
3	7	2
2	8	1
8	3	1
6	4	1
11	0	1
5	6	1
9	3	1
8	4	1
12	0	1
0	9	1
