Season	Round	Date	Kickoff	Home	Away	Result	Referee	Grade
2019_20	1	2019-08-16	20:30	Bayern München	Hertha BSC	2:2	Harm Osmers	2
2019_20	1	2019-08-17	15:30	Borussia Dortmund	FC Augsburg	5:1	Frank Willenborg	2
2019_20	1	2019-08-17	15:30	Bayer 04 Leverkusen	SC Paderborn 07	3:2	Tobias Stieler	2
2019_20	1	2019-08-17	15:30	VfL Wolfsburg	1. FC Köln	2:1	Sven Jablonski	4
2019_20	1	2019-08-17	15:30	Werder Bremen	Fortuna Düsseldorf	1:3	Felix Zwayer	2
2019_20	1	2019-08-17	15:30	SC Freiburg	1. FSV Mainz 05	3:0	Robert Hartmann	3.5
2019_20	1	2019-08-17	18:30	Bor. Mönchengladbach	FC Schalke 04	0:0	Dr. Felix Brych	1.5
2019_20	1	2019-08-18	15:30	Eintracht Frankfurt	TSG Hoffenheim	1:0	Daniel Siebert	2.5
2019_20	1	2019-08-18	18:00	1. FC Union Berlin	RB Leipzig	0:4	Markus Schmidt	2.5
2019_20	2	2019-08-23	20:30	1. FC Köln	Borussia Dortmund	1:3	Christian Dingert	2.5
2019_20	2	2019-08-24	15:30	TSG Hoffenheim	Werder Bremen	3:2	Sascha Stegemann	4.5
2019_20	2	2019-08-24	15:30	Fortuna Düsseldorf	Bayer 04 Leverkusen	1:3	Patrick Ittrich	4
2019_20	2	2019-08-24	15:30	1. FSV Mainz 05	Bor. Mönchengladbach	1:3	Martin Petersen	2.5
2019_20	2	2019-08-24	15:30	FC Augsburg	1. FC Union Berlin	1:1	Robert Schröder	3
2019_20	2	2019-08-24	15:30	SC Paderborn 07	SC Freiburg	1:3	Tobias Welz	4
2019_20	2	2019-08-24	18:30	FC Schalke 04	Bayern München	0:3	Marco Fritz	5
2019_20	2	2019-08-25	15:30	RB Leipzig	Eintracht Frankfurt	2:1	Benjamin Cortus	3
2019_20	2	2019-08-25	18:00	Hertha BSC	VfL Wolfsburg	0:3	Guido Winkmann	2
2019_20	3	2019-08-30	20:30	Bor. Mönchengladbach	RB Leipzig	1:3	Sven Jablonski	2
2019_20	3	2019-08-31	15:30	Bayern München	1. FSV Mainz 05	6:1	Markus Schmidt	3
2019_20	3	2019-08-31	15:30	Bayer 04 Leverkusen	TSG Hoffenheim	0:0	Felix Zwayer	4
2019_20	3	2019-08-31	15:30	VfL Wolfsburg	SC Paderborn 07	1:1	Daniel Schlager	4.5
2019_20	3	2019-08-31	15:30	SC Freiburg	1. FC Köln	1:2	Dr. Robert Kampka	2.5
2019_20	3	2019-08-31	15:30	FC Schalke 04	Hertha BSC	3:0	Tobias Stieler	2
2019_20	3	2019-08-31	18:30	1. FC Union Berlin	Borussia Dortmund	3:1	Dr. Felix Brych	3
2019_20	3	2019-09-01	15:30	Werder Bremen	FC Augsburg	3:2	Sören Storks	2
2019_20	3	2019-09-01	18:00	Eintracht Frankfurt	Fortuna Düsseldorf	2:1	Frank Willenborg	4
2019_20	4	2019-09-13	20:30	Fortuna Düsseldorf	VfL Wolfsburg	1:1	Manuel Gräfe	1.5
2019_20	4	2019-09-14	15:30	Borussia Dortmund	Bayer 04 Leverkusen	4:0	Daniel Siebert	4
2019_20	4	2019-09-14	15:30	1. FSV Mainz 05	Hertha BSC	2:1	Marco Fritz	2
2019_20	4	2019-09-14	15:30	FC Augsburg	Eintracht Frankfurt	2:1	Harm Osmers	3.5
2019_20	4	2019-09-14	15:30	1. FC Köln	Bor. Mönchengladbach	0:1	Deniz Aytekin	2
2019_20	4	2019-09-14	15:30	1. FC Union Berlin	Werder Bremen	1:2	Tobias Welz	6
2019_20	4	2019-09-14	18:30	RB Leipzig	Bayern München	1:1	Sascha Stegemann	2
2019_20	4	2019-09-15	15:30	TSG Hoffenheim	SC Freiburg	0:3	Guido Winkmann	2
2019_20	4	2019-09-15	18:00	SC Paderborn 07	FC Schalke 04	1:5	Robert Schröder	1.5
2019_20	5	2019-09-20	20:30	FC Schalke 04	1. FSV Mainz 05	2:1	Daniel Schlager	2
2019_20	5	2019-09-21	15:30	Bayern München	1. FC Köln	4:0	Patrick Ittrich	4
2019_20	5	2019-09-21	15:30	Bayer 04 Leverkusen	1. FC Union Berlin	2:0	Robert Hartmann	4
